__v,_id,alta,cantidad,cantidadRestock,createdAt,ean,familia,iva,margen,nombre,precioCompra,precioVenta,proveedor,updatedAt
0,62c4df316f6dede80a8a6ff4,true,-1,20,2022-07-06T01:02:42.062Z,1,BOLLERIA SALADA,10,20,CARRE DE POLLO,1.25,1.65,,2022-07-06T11:46:40.302Z
0,62c4df316f6dede80a8a6ff5,true,-1,20,2022-07-06T01:02:42.063Z,2,BOLLERIA SALADA,10,20,CHAPATA CARBONARA,1.06,1.4,,2022-07-06T11:46:40.302Z
0,62c4df316f6dede80a8a6ff6,true,-1,20,2022-07-06T01:02:42.063Z,3,BOLLERIA SALADA,10,20,CHAPATA BARBACOA,1.06,1.4,,2022-07-06T11:46:40.302Z
0,62c4df316f6dede80a8a6ff7,true,0,20,2022-07-06T01:02:42.063Z,4,BOLLERIA SALADA,10,20,CHAPATA BACON,1.06,1.4,,2022-07-06T01:02:42.063Z
0,62c4df316f6dede80a8a6ff8,true,0,20,2022-07-06T01:02:42.063Z,8410297121104,NEVERA,10,20,NATA MONTADA ASTURIANA,1.6,1.69,,2022-07-06T01:02:42.063Z
0,62c4df316f6dede80a8a6ff9,true,0,20,2022-07-06T01:02:42.063Z,8410087151083,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,ENSAIMADA DULCESOL 6 UNI.,0.66,1,15027,2022-07-06T01:02:42.063Z
0,62c4df316f6dede80a8a6ffa,true,0,20,2022-07-06T01:02:42.063Z,8410087091358,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,MAGDALENA DULCESOL 11UNI.,0.91,1,09324,2022-07-06T01:02:42.063Z
0,62c4df316f6dede80a8a6ffb,true,0,20,2022-07-06T01:02:42.063Z,8411414012923,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,GALLETA DESAYUNO 5 CEREALES CHOCOLATE,1.67,2.2,,2022-07-06T01:02:42.063Z
0,62c4df316f6dede80a8a6ffc,true,0,20,2022-07-06T01:02:42.063Z,8410376051216,GENERICA,10,20,BIZCOCHOS GULLON,0.76,1,,2022-07-06T01:02:42.063Z
0,62c4df316f6dede80a8a6ffd,true,0,20,2022-07-06T01:02:42.063Z,8411414013272,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,SURTIDO WAFER MIX,1.38,2.2,30011,2022-07-06T01:02:42.063Z
0,62c4df316f6dede80a8a6ffe,true,0,20,2022-07-06T01:02:42.063Z,8411414013227,GENERICA,10,20,GALLETA FLORBU 5 CEREALES,1.67,2.2,,2022-07-06T01:02:42.063Z
0,62c4df316f6dede80a8a6fff,true,0,20,2022-07-06T01:02:42.064Z,8410376013658,GENERICA,10,20,MINI CRACKER PICK GULLON,0.76,1,,2022-07-06T01:02:42.064Z
0,62c4df316f6dede80a8a7000,true,0,20,2022-07-06T01:02:42.064Z,9004380079602,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,LATTE MACCHIATO ICE COFEE 230 ML - LANDE,0.71,1.2,21058,2022-07-06T01:02:42.064Z
0,62c4df316f6dede80a8a7001,true,0,20,2022-07-06T01:02:42.064Z,8480024732996,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,LANDESA ESPRESO ICE COFFEE,0.71,1.2,,2022-07-06T01:02:42.064Z
0,62c4df316f6dede80a8a7002,true,0,20,2022-07-06T01:02:42.064Z,9004380126702,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,LANDESA ICE COFFEE DESCAFEINADO,0.91,1.2,21061,2022-07-06T01:02:42.064Z
0,62c4df316f6dede80a8a7003,true,0,20,2022-07-06T01:02:42.064Z,9004380014306,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,LANDESA ICE COFFEE CAPPUCCHINO,0.71,1.2,21059,2022-07-06T01:02:42.064Z
0,62c4df316f6dede80a8a7004,true,0,20,2022-07-06T01:02:42.064Z,8410376037319,GENERICA,10,20,CRACKERS CLASIC,0.76,1,,2022-07-06T01:02:42.064Z
0,62c4df316f6dede80a8a7005,true,0,20,2022-07-06T01:02:42.064Z,8436048452563,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,DINOSAURIOS HUEVOS,0.63,1,90418,2022-07-06T01:02:42.064Z
0,62c4df316f6dede80a8a7006,true,0,20,2022-07-06T01:02:42.065Z,8436048961027,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,DINOSAURIOS CHOCOLECHE 85 GR.,0.67,1,90402,2022-07-06T01:02:42.065Z
0,62c4df316f6dede80a8a7007,true,0,20,2022-07-06T01:02:42.065Z,8436048421972,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,DINOSAURIOS GALLETA,0.76,1,,2022-07-06T01:02:42.065Z
0,62c4df316f6dede80a8a7008,true,0,20,2022-07-06T01:02:42.065Z,8410087045047,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,SOLES DULCESOL CHOCO,0.65,1,65139,2022-07-06T01:02:42.065Z
0,62c4df316f6dede80a8a7009,true,0,20,2022-07-06T01:02:42.065Z,8434165499546,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,FLAKES NOCILLA 105 gr 3*35,0.66,1,90375,2022-07-06T01:02:42.065Z
0,62c4df316f6dede80a8a700a,true,0,20,2022-07-06T01:02:42.065Z,8434165496163,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,TOSTA RICA OCEANIX,0.63,1,90372,2022-07-06T01:02:42.065Z
0,62c4df316f6dede80a8a700b,true,0,20,2022-07-06T01:02:42.065Z,8436048467116,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,DINOSAURIOS CHOCO BLANCO,0.67,1,90402,2022-07-06T01:02:42.065Z
0,62c4df316f6dede80a8a700c,true,0,20,2022-07-06T01:02:42.065Z,5601560111134,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,DIATOSTA TOSTADA INTEGRAL,0.86,1.1,90253,2022-07-06T01:02:42.065Z
0,62c4df316f6dede80a8a700d,true,0,20,2022-07-06T01:02:42.065Z,5601560111110,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,DIATOSTA TOSTADA,0.86,1.1,,2022-07-06T01:02:42.065Z
0,62c4df316f6dede80a8a700e,true,0,20,2022-07-06T01:02:42.065Z,8411414013197,GENERICA,10,20,FLORBU STRACCIATELLA,0.76,1,,2022-07-06T01:02:42.065Z
0,62c4df316f6dede80a8a700f,true,0,20,2022-07-06T01:02:42.066Z,8411414013739,GENERICA,10,20,FLORBU CHOCOLATE INTENSE,0.76,1,,2022-07-06T01:02:42.066Z
0,62c4df316f6dede80a8a7010,true,0,20,2022-07-06T01:02:42.066Z,8411414012350,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,BOER RELLENO ORIGINAL,0.76,1,,2022-07-06T01:02:42.066Z
0,62c4df316f6dede80a8a7011,true,0,20,2022-07-06T01:02:42.066Z,8436048452570,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,MINI DINOSAURIOS ORIGINALES,0.66,1,,2022-07-06T01:02:42.066Z
0,62c4df316f6dede80a8a7012,true,0,20,2022-07-06T01:02:42.066Z,8436048962079,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,ARTIACH PRINCESA 90 GR.,0.63,1,90384,2022-07-06T01:02:42.066Z
0,62c4df316f6dede80a8a7013,true,0,20,2022-07-06T01:02:42.066Z,8411414013715,GENERICA,10,20,FLORBU TURRON NOUGAT,0.76,1,,2022-07-06T01:02:42.066Z
0,62c4df316f6dede80a8a7014,true,0,20,2022-07-06T01:02:42.066Z,3017760628297,GENERICA,10,20,MIKADO CHOCOLATE,0.76,1,,2022-07-06T01:02:42.066Z
0,62c4df316f6dede80a8a7015,true,0,20,2022-07-06T01:02:42.066Z,8434165588929,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,FLAKES CHOCO DUO,0.76,1,,2022-07-06T01:02:42.066Z
0,62c4df316f6dede80a8a7016,true,0,20,2022-07-06T01:02:42.066Z,8410087142180,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,CHAPELAS CHOCO DULCESOL,0.66,1,52476,2022-07-06T01:02:42.066Z
0,62c4df316f6dede80a8a7017,true,0,20,2022-07-06T01:02:42.066Z,8411414012312,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,BOLSA GALLETA FLORBU SIN AZUCAR,1.67,2.2,,2022-07-06T01:02:42.066Z
0,62c4df316f6dede80a8a7018,true,0,20,2022-07-06T01:02:42.066Z,8410087280356,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,DULCESOL BRIO CHOCO,0.66,1,,2022-07-06T01:02:42.066Z
0,62c4df316f6dede80a8a7019,true,0,20,2022-07-06T01:02:42.066Z,8410087045016,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,SOLES AZUCAR DULCESOL,0.66,1,65129,2022-07-06T01:02:42.066Z
0,62c4df316f6dede80a8a701a,true,0,20,2022-07-06T01:02:42.066Z,8410087080499,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,PANDORINO CACAO DULCESOL,0.66,1,08177,2022-07-06T01:02:42.066Z
0,62c4df316f6dede80a8a701b,true,0,20,2022-07-06T01:02:42.066Z,8434165452145,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,GALLETAS MARIA ORO,0.62,1,90360,2022-07-06T01:02:42.066Z
0,62c4df316f6dede80a8a701c,true,0,20,2022-07-06T01:02:42.066Z,8436048961881,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,CHIQUILIN CHIQUI CHOCS,0.76,1,90416,2022-07-06T01:02:42.066Z
0,62c4df316f6dede80a8a701d,true,0,20,2022-07-06T01:02:42.066Z,8434165483071,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,AVENACOL,0.63,1,90391,2022-07-06T01:02:42.066Z
0,62c4df316f6dede80a8a701e,true,0,20,2022-07-06T01:02:42.066Z,8001585001309,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,ROLLINO NOCCIOLA,0.64,1.09,81002,2022-07-06T01:02:42.066Z
0,62c4df316f6dede80a8a701f,true,0,20,2022-07-06T01:02:42.066Z,8001585001323,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,ROLLINO LATTE MILKI CREAM,0.89,1.09,81001,2022-07-06T01:02:42.066Z
